source,target,value,link,nodes
Behavioral  Mental Disorder Not Otherwise Listed , Oth stimulant depend w stim induce psych disorder w hallucin,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Oth stimulant depend w stim induce psych disorder w hallucin"", value: 2}","{id:""Unspecified injury of face initial encounter""}"
Behavioral  Mental Disorder Not Otherwise Listed , Other abnormal involuntary movements,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Other abnormal involuntary movements"", value: 2}","{id:""Vertigo Dizziness""}"
Behavioral  Mental Disorder Not Otherwise Listed , Other schizoaffective disorders,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Other schizoaffective disorders"", value: 2}","{id:""Vomiting""}"
Behavioral  Mental Disorder Not Otherwise Listed , Other schizophrenia,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Other schizophrenia"", value: 2}","{id:""Weakness""}"
Behavioral  Mental Disorder Not Otherwise Listed , Poisn by antiparkns drug centr musc tone depr slf hrm init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Poisn by antiparkns drug centr musc tone depr slf hrm init"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Poisn by slctv serotonin reuptake inhibtr self harm init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Poisn by slctv serotonin reuptake inhibtr self harm init"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Poisoning by 4 Aminophenol derivatives self harm init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Poisoning by 4 Aminophenol derivatives self harm init"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Poisoning by oth antieplptc and sed hypntc drugs acc init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Poisoning by oth antieplptc and sed hypntc drugs acc init"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Poisoning by tricyclic antidepressants self harm init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Poisoning by tricyclic antidepressants self harm init"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Poisoning by unsp drug meds biol subst self harm init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Poisoning by unsp drug meds biol subst self harm init"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Proc trtmt not crd out bec pt decision for unsp reasons,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Proc trtmt not crd out bec pt decision for unsp reasons"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Sepsis unspecified organism,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Sepsis unspecified organism"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Sprain of unspecified ligament of right ankle init encntr,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Sprain of unspecified ligament of right ankle init encntr"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Suicide attempt initial encounter,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Suicide attempt initial encounter"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Toxic encephalopathy,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Toxic encephalopathy"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Unspecified convulsions,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Unspecified convulsions"", value: 2}",
Behavioral  Mental Disorder Not Otherwise Listed , Urinary tract infection site not specified,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Urinary tract infection site not specified"", value: 2}",
Behavioral  Strange Behavior , Alcohol abuse uncomplicated,2,"{source:""Behavioral Strange Behavior"", target:""Alcohol abuse uncomplicated"", value: 2}",
Behavioral  Strange Behavior , Alcohol abuse with intoxication unspecified,2,"{source:""Behavioral Strange Behavior"", target:""Alcohol abuse with intoxication unspecified"", value: 2}",
Behavioral  Strange Behavior , Anxiety disorder unspecified,2,"{source:""Behavioral Strange Behavior"", target:""Anxiety disorder unspecified"", value: 2}",
Behavioral  Strange Behavior , Bipolar disord crnt episode manic severe w psych features,2,"{source:""Behavioral Strange Behavior"", target:""Bipolar disord crnt episode manic severe w psych features"", value: 2}",
Behavioral  Strange Behavior , Bipolar II disorder,2,"{source:""Behavioral Strange Behavior"", target:""Bipolar II disorder"", value: 2}",
Behavioral  Strange Behavior , Calculus of kidney,2,"{source:""Behavioral Strange Behavior"", target:""Calculus of kidney"", value: 2}",
Behavioral  Strange Behavior , Malingerer [conscious simulation],2,"{source:""Behavioral Strange Behavior"", target:""Malingerer [conscious simulation]"", value: 2}",
Behavioral  Strange Behavior , Other chest pain,2,"{source:""Behavioral Strange Behavior"", target:""Other chest pain"", value: 2}",
Behavioral  Strange Behavior , Other psychoactive substance abuse uncomplicated,2,"{source:""Behavioral Strange Behavior"", target:""Other psychoactive substance abuse uncomplicated"", value: 2}",
Behavioral  Strange Behavior , Other stimulant abuse with intoxication unspecified,2,"{source:""Behavioral Strange Behavior"", target:""Other stimulant abuse with intoxication unspecified"", value: 2}",
Behavioral  Strange Behavior , Paranoid schizophrenia,2,"{source:""Behavioral Strange Behavior"", target:""Paranoid schizophrenia"", value: 2}",
Behavioral  Strange Behavior , Pneumonia unspecified organism,2,"{source:""Behavioral Strange Behavior"", target:""Pneumonia unspecified organism"", value: 2}",
Behavioral  Strange Behavior , Poisoning by oth antieplptc and sed hypntc drugs acc init,2,"{source:""Behavioral Strange Behavior"", target:""Poisoning by oth antieplptc and sed hypntc drugs acc init"", value: 2}",
Behavioral  Strange Behavior , Proc trtmt not crd out bec pt belief and group pressure,2,"{source:""Behavioral Strange Behavior"", target:""Proc trtmt not crd out bec pt belief and group pressure"", value: 2}",
Behavioral  Strange Behavior , Proc trtmt not crd out d t pt lv bef seen by hlth care prov,2,"{source:""Behavioral Strange Behavior"", target:""Proc trtmt not crd out d t pt lv bef seen by hlth care prov"", value: 2}",
Behavioral  Strange Behavior , Schizoaffective disorder unspecified,2,"{source:""Behavioral Strange Behavior"", target:""Schizoaffective disorder unspecified"", value: 2}",
Behavioral  Strange Behavior , Sepsis unspecified organism,2,"{source:""Behavioral Strange Behavior"", target:""Sepsis unspecified organism"", value: 2}",
Behavioral  Suicidal Homicidal Ideation , Alcohol dependence with intoxication unspecified,2,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Alcohol dependence with intoxication unspecified"", value: 2}",
Behavioral  Suicidal Homicidal Ideation , Conduct disorder unspecified,2,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Conduct disorder unspecified"", value: 2}",
Behavioral  Suicidal Homicidal Ideation , Generalized anxiety disorder,2,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Generalized anxiety disorder"", value: 2}",
Behavioral  Suicidal Homicidal Ideation , Pelvic and perineal pain,2,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Pelvic and perineal pain"", value: 2}",
Behavioral  Suicidal Homicidal Ideation , Reaction to severe stress unspecified,2,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Reaction to severe stress unspecified"", value: 2}",
Behavioral  Suicidal Homicidal Ideation , Strain of muscle fascia and tendon of lower back init,2,"{source:""Behavioral Suicidal Homicidal Ideation"", target:""Strain of muscle fascia and tendon of lower back init"", value: 2}",
Behavioral  Suicide Attempt , Acute stress reaction,2,"{source:""Behavioral Suicide Attempt"", target:""Acute stress reaction"", value: 2}",
Behavioral  Suicide Attempt , Alcohol abuse with intoxication uncomplicated,2,"{source:""Behavioral Suicide Attempt"", target:""Alcohol abuse with intoxication uncomplicated"", value: 2}",
Behavioral  Suicide Attempt , Borderline personality disorder,2,"{source:""Behavioral Suicide Attempt"", target:""Borderline personality disorder"", value: 2}",
Behavioral  Suicide Attempt , Brief psychotic disorder,2,"{source:""Behavioral Suicide Attempt"", target:""Brief psychotic disorder"", value: 2}",
Behavioral  Suicide Attempt , Cocaine abuse uncomplicated,2,"{source:""Behavioral Suicide Attempt"", target:""Cocaine abuse uncomplicated"", value: 2}",
Behavioral  Suicide Attempt , Conduct disorder childhood onset type,2,"{source:""Behavioral Suicide Attempt"", target:""Conduct disorder childhood onset type"", value: 2}",
Behavioral  Suicide Attempt , Laceration w o foreign body of right forearm init encntr,2,"{source:""Behavioral Suicide Attempt"", target:""Laceration w o foreign body of right forearm init encntr"", value: 2}",
Behavioral  Suicide Attempt , Laceration without foreign body of right wrist init encntr,2,"{source:""Behavioral Suicide Attempt"", target:""Laceration without foreign body of right wrist init encntr"", value: 2}",
Behavioral  Suicide Attempt , Manic episode severe with psychotic symptoms,2,"{source:""Behavioral Suicide Attempt"", target:""Manic episode severe with psychotic symptoms"", value: 2}",
Behavioral  Suicide Attempt , Oppositional defiant disorder,2,"{source:""Behavioral Suicide Attempt"", target:""Oppositional defiant disorder"", value: 2}",
Behavioral  Suicide Attempt , Other symptoms and signs involving emotional state,2,"{source:""Behavioral Suicide Attempt"", target:""Other symptoms and signs involving emotional state"", value: 2}",
Behavioral  Suicide Attempt , Poisn by oth antieplptc and sed hypntc drugs slf hrm init,2,"{source:""Behavioral Suicide Attempt"", target:""Poisn by oth antieplptc and sed hypntc drugs slf hrm init"", value: 2}",
Behavioral  Suicide Attempt , Poisn by slctv seroton norepineph reup inhibtr slf hrm init,2,"{source:""Behavioral Suicide Attempt"", target:""Poisn by slctv seroton norepineph reup inhibtr slf hrm init"", value: 2}",
Behavioral  Suicide Attempt , Poisoning by oth antieplptc and sed hypntc drugs acc init,2,"{source:""Behavioral Suicide Attempt"", target:""Poisoning by oth antieplptc and sed hypntc drugs acc init"", value: 2}",
Behavioral  Suicide Attempt , Poisoning by unsp drug meds biol subst self harm init,2,"{source:""Behavioral Suicide Attempt"", target:""Poisoning by unsp drug meds biol subst self harm init"", value: 2}",
Behavioral  Suicide Attempt , Suicide attempt initial encounter,2,"{source:""Behavioral Suicide Attempt"", target:""Suicide attempt initial encounter"", value: 2}",
Behavioral  Suicide Attempt , Toxic effect of ethanol intentional self harm init encntr,2,"{source:""Behavioral Suicide Attempt"", target:""Toxic effect of ethanol intentional self harm init encntr"", value: 2}",
Behavioral  Violent , Autistic disorder,2,"{source:""Behavioral Violent"", target:""Autistic disorder"", value: 2}",
Breathing Problem , CV  Chest Pain  Myocardial Infarction Non STEMI,2,"{source:""Breathing Problem"", target:""CV Chest Pain Myocardial Infarction Non STEMI"", value: 2}",
Breathing Problem , GI GU  Nausea With Vomiting,2,"{source:""Breathing Problem"", target:""GI GU Nausea With Vomiting"", value: 2}",
Breathing Problem , Neuro  Headache  Migraine Pain,2,"{source:""Breathing Problem"", target:""Neuro Headache Migraine Pain"", value: 2}",
Breathing Problem , Other depressive episodes,2,"{source:""Breathing Problem"", target:""Other depressive episodes"", value: 2}",
Breathing Problem , Respiratory  Foreign Body Airway,2,"{source:""Breathing Problem"", target:""Respiratory Foreign Body Airway"", value: 2}",
Breathing Problem , Respiratory  Smoke Inhalation,2,"{source:""Breathing Problem"", target:""Respiratory Smoke Inhalation"", value: 2}",
Breathing Problem , Unspecified convulsions,2,"{source:""Breathing Problem"", target:""Unspecified convulsions"", value: 2}",
Breathing Problem , Vomiting,2,"{source:""Breathing Problem"", target:""Vomiting"", value: 2}",
Chest Pain Non Traumatic , Abuse of Alcohol  Intoxication,2,"{source:""Chest Pain Non Traumatic"", target:""Abuse of Alcohol Intoxication"", value: 2}",
Chest Pain Non Traumatic , Abuse of Alcohol  Withdrawal,2,"{source:""Chest Pain Non Traumatic"", target:""Abuse of Alcohol Withdrawal"", value: 2}",
Chest Pain Non Traumatic , Behavioral  Suicide Attempt,2,"{source:""Chest Pain Non Traumatic"", target:""Behavioral Suicide Attempt"", value: 2}",
Chest Pain Non Traumatic , CV  Hypertension,2,"{source:""Chest Pain Non Traumatic"", target:""CV Hypertension"", value: 2}",
Chest Pain Non Traumatic , Infectious  Common Cold,2,"{source:""Chest Pain Non Traumatic"", target:""Infectious Common Cold"", value: 2}",
Chest Pain Non Traumatic , Injury  Not Otherwise Listed,2,"{source:""Chest Pain Non Traumatic"", target:""Injury Not Otherwise Listed"", value: 2}",
Chest Pain Non Traumatic , Neuro  Headache Pain,2,"{source:""Chest Pain Non Traumatic"", target:""Neuro Headache Pain"", value: 2}",
Chest Pain Non Traumatic , Pain  Chronic,2,"{source:""Chest Pain Non Traumatic"", target:""Pain Chronic"", value: 2}",
Chest Pain Non Traumatic , Respiratory  Hyperventilation,2,"{source:""Chest Pain Non Traumatic"", target:""Respiratory Hyperventilation"", value: 2}",
Chest pain unspecified , Acute pancreatitis without necrosis or infection unsp,2,"{source:""Chest pain unspecified"", target:""Acute pancreatitis without necrosis or infection unsp"", value: 2}",
Chest pain unspecified , Angina pectoris unspecified,2,"{source:""Chest pain unspecified"", target:""Angina pectoris unspecified"", value: 2}",
Chest pain unspecified , Athscl heart disease of native cor art w unsp ang pctrs,2,"{source:""Chest pain unspecified"", target:""Athscl heart disease of native cor art w unsp ang pctrs"", value: 2}",
Chest pain unspecified , Bronchitis not specified as acute or chronic,2,"{source:""Chest pain unspecified"", target:""Bronchitis not specified as acute or chronic"", value: 2}",
Chest pain unspecified , Dehydration,2,"{source:""Chest pain unspecified"", target:""Dehydration"", value: 2}",
Chest pain unspecified , Dyspnea unspecified,2,"{source:""Chest pain unspecified"", target:""Dyspnea unspecified"", value: 2}",
Chest pain unspecified , Epigastric pain,2,"{source:""Chest pain unspecified"", target:""Epigastric pain"", value: 2}",
Chest pain unspecified , Hypertensive urgency,2,"{source:""Chest pain unspecified"", target:""Hypertensive urgency"", value: 2}",
